episode,total_timesteps,episode_length,episode_reward,rolling_mean_reward,elapsed_seconds
1,12,12,7.876304,7.876304,3.853773
2,24,12,7.562136,7.719220,3.882313
3,36,12,8.489677,7.976039,3.910316
4,48,12,8.002010,7.982532,3.937317
5,60,12,7.685259,7.923077,3.965853
6,72,12,7.604094,7.869913,3.994843
7,84,12,7.409119,7.804086,4.028848
8,96,12,9.287453,7.989507,4.056851
9,108,12,7.095959,7.890223,4.087361
10,120,12,8.170368,7.918238,4.116361
11,132,12,7.921272,7.918514,4.143361
12,144,12,8.325457,7.952426,4.172067
13,156,12,7.137644,7.889750,4.209104
14,168,12,8.315625,7.920170,4.237063
15,180,12,8.935232,7.987841,4.265578
16,192,12,7.706017,7.970227,4.293582
17,204,12,8.500086,8.001395,4.329684
18,216,12,7.771537,7.988625,4.359586
19,228,12,7.457904,7.960692,4.388094
20,240,12,9.101968,8.017756,4.420095
21,252,12,7.993593,8.016605,4.451261
22,264,12,7.579591,7.996741,4.479774
23,276,12,7.788204,7.987674,4.510863
24,288,12,6.992490,7.946208,4.539773
25,300,12,7.274446,7.919338,4.566990
26,312,12,8.111958,7.928764,4.604403
27,324,12,7.207309,7.914571,4.636806
28,336,12,7.664681,7.881571,4.665401
29,348,12,7.491649,7.861157,4.693402
30,360,12,7.243494,7.843486,4.723491
31,372,12,7.744030,7.849083,4.752407
32,384,12,7.565764,7.855349,4.779916
33,396,12,7.798810,7.795804,4.808915
34,408,12,9.212221,7.880454,4.838916
35,420,12,7.185029,7.841040,4.869443
36,432,12,6.895167,7.799996,4.897444
37,444,12,6.888021,7.742499,4.925440
38,456,12,7.496336,7.756846,4.953446
39,468,12,7.506360,7.724476,4.981791
40,480,12,8.984787,7.726458,5.010807
41,492,12,7.248262,7.708148,5.052000
42,504,12,7.218611,7.656889,5.081943
43,516,12,8.476873,7.685102,5.694605
44,528,12,7.391586,7.682450,5.728878
45,540,12,8.354009,7.652531,5.759807
46,552,12,6.858624,7.607132,5.788705
47,564,12,7.222931,7.592866,5.818917
48,576,12,8.786010,7.632778,5.849917
49,588,12,7.854674,7.667266,5.885553
50,600,12,8.853435,7.730425,5.916465
51,612,12,8.361567,7.740410,5.944463
52,624,12,7.872097,7.767001,5.975020
53,636,12,7.212869,7.748929,6.007178
54,648,12,7.975104,7.768267,6.036173
55,660,12,7.512717,7.779036,6.064695
56,672,12,8.643680,7.815022,6.092697
57,684,12,7.853426,7.826528,6.120692
58,696,12,6.884891,7.789971,6.148696
59,708,12,8.097386,7.745378,6.176207
60,720,12,9.114105,7.822541,6.203210
61,732,12,6.753355,7.816869,6.243247
62,744,12,7.105127,7.825553,6.271852
63,756,12,7.702746,7.833809,6.301852
64,768,12,7.575963,7.836593,6.329847
65,780,12,7.040660,7.758828,6.365475
66,792,12,7.644841,7.774691,6.393480
67,804,12,8.599157,7.829913,6.422476
68,816,12,7.671000,7.797678,6.453581
69,828,12,9.042322,7.863708,6.483190
70,840,12,8.698586,7.877491,6.513189
71,852,12,8.205767,7.931377,6.543956
72,864,12,8.004767,7.962650,6.573457
73,876,12,7.299702,7.903198,6.603457
74,888,12,8.147166,7.914897,6.631458
75,900,12,7.657679,7.867067,6.666338
76,912,12,7.733399,7.841940,6.694253
77,924,12,7.867460,7.841755,6.723254
78,936,12,7.753978,7.863399,6.753356
79,948,12,7.992196,7.864083,6.782060
80,960,12,8.113521,7.888115,6.813964
81,972,12,8.622556,7.887270,6.842964
82,984,12,8.398519,7.909074,6.871507
83,996,12,8.637312,7.979171,6.900504
84,1008,12,8.461402,7.993731,6.929503
85,1020,12,7.601848,7.933241,6.958514
86,1032,12,9.177489,8.030207,7.270391
87,1044,12,8.657046,8.092283,7.306915
88,1056,12,7.895035,8.099975,7.334518
89,1068,12,7.031693,8.078204,7.373791
90,1080,12,7.742814,8.106290,7.401907
91,1092,12,8.295589,8.132320,7.431705
92,1104,12,7.679966,8.095552,7.459702
93,1116,12,7.897959,8.104631,7.487400
94,1128,12,9.118734,8.107687,7.522499
95,1140,12,8.602171,8.103831,7.551402
96,1152,12,8.137386,8.101095,7.580926
97,1164,12,7.429808,8.078097,7.618926
98,1176,12,7.961080,8.104552,7.652934
99,1188,12,8.067501,8.101366,7.682904
100,1200,12,8.155158,8.121265,7.712911
101,1212,12,7.363986,8.106488,7.742912
102,1224,12,7.086200,8.075238,7.773424
103,1236,12,6.631233,8.030328,7.803429
104,1248,12,7.033415,7.991977,7.847424
105,1260,12,9.055296,8.029648,7.882137
106,1272,12,7.261480,7.975205,7.923949
107,1284,12,8.920583,7.996087,7.958907
108,1296,12,8.431259,7.987845,7.991872
109,1308,12,7.017920,7.930106,8.041875
110,1320,12,7.306433,7.918289,8.072396
111,1332,12,9.457987,7.929509,8.101392
112,1344,12,7.982964,7.902546,8.132390
113,1356,12,8.025784,7.907776,8.166950
114,1368,12,8.070509,7.949329,8.195950
115,1380,12,7.628578,7.944759,8.225953
116,1392,12,8.702218,7.961024,8.254951
117,1404,12,8.990967,8.013464,8.290501
118,1416,12,8.052085,8.019629,8.320727
119,1428,12,8.436279,7.992331,8.351099
120,1440,12,7.444472,7.946023,8.382428
121,1452,12,7.773433,7.931465,8.414518
122,1464,12,7.609503,7.938653,8.461113
123,1476,12,8.441007,7.957850,8.527873
124,1488,12,8.395121,7.970955,8.562881
125,1500,12,8.838388,7.998284,8.604424
126,1512,12,8.741172,8.053371,8.633478
127,1524,12,8.587095,8.113407,8.665112
128,1536,12,8.705505,8.196378,8.694159
129,1548,12,8.674693,8.262029,9.013857
130,1560,12,8.758711,8.250166,9.043873
131,1572,12,8.058409,8.282043,9.077552
132,1584,12,7.810704,8.237648,9.111569
133,1596,12,8.427045,8.237479,9.141554
