#{"t_start": 1775802262.372729, "env_id": "None"}
r,l,t
7.876304,12,3.853773
7.562136,12,3.882313
8.489677,12,3.910316
8.00201,12,3.937317
7.685259,12,3.965853
7.604094,12,3.994843
7.409119,12,4.028848
9.287453,12,4.056851
7.095959,12,4.087361
8.170368,12,4.116361
7.921272,12,4.143361
8.325457,12,4.172067
7.137644,12,4.209104
8.315625,12,4.237063
8.935232,12,4.265578
7.706017,12,4.293582
8.500086,12,4.329684
7.771537,12,4.359586
7.457904,12,4.388094
9.101968,12,4.420095
7.993593,12,4.451261
7.579591,12,4.479774
7.788204,12,4.510863
6.99249,12,4.539773
7.274446,12,4.56699
8.111958,12,4.604403
7.207309,12,4.636806
7.664681,12,4.665401
7.491649,12,4.693402
7.243494,12,4.723491
7.74403,12,4.752407
7.565764,12,4.779916
7.79881,12,4.808915
9.212221,12,4.838916
7.185029,12,4.869443
6.895167,12,4.897444
6.888021,12,4.92544
7.496336,12,4.953446
7.50636,12,4.981791
8.984787,12,5.010807
7.248262,12,5.052
7.218611,12,5.081943
8.476873,12,5.694605
7.391586,12,5.728878
8.354009,12,5.759807
6.858624,12,5.788705
7.222931,12,5.818917
8.78601,12,5.849917
7.854674,12,5.885553
8.853435,12,5.916465
8.361567,12,5.944463
7.872097,12,5.97502
7.212869,12,6.007178
7.975104,12,6.036173
7.512717,12,6.064695
8.64368,12,6.092697
7.853426,12,6.120692
6.884891,12,6.148696
8.097386,12,6.176207
9.114105,12,6.20321
6.753355,12,6.243247
7.105127,12,6.271852
7.702746,12,6.301852
7.575963,12,6.329847
7.04066,12,6.365475
7.644841,12,6.39348
8.599157,12,6.422476
7.671,12,6.453581
9.042322,12,6.48319
8.698586,12,6.513189
8.205767,12,6.543956
8.004767,12,6.573457
7.299702,12,6.603457
8.147166,12,6.631458
7.657679,12,6.666338
7.733399,12,6.694253
7.86746,12,6.723254
7.753978,12,6.753356
7.992196,12,6.78206
8.113521,12,6.813964
8.622556,12,6.842964
8.398519,12,6.871507
8.637312,12,6.900504
8.461402,12,6.929503
7.601848,12,6.958514
9.177489,12,7.270391
8.657046,12,7.306915
7.895035,12,7.334518
7.031693,12,7.373791
7.742814,12,7.401907
8.295589,12,7.431705
7.679966,12,7.459702
7.897959,12,7.4874
9.118734,12,7.522499
8.602171,12,7.551402
8.137386,12,7.580926
7.429808,12,7.618926
7.96108,12,7.652934
8.067501,12,7.682904
8.155158,12,7.712911
7.363986,12,7.742912
7.0862,12,7.773424
6.631233,12,7.803429
7.033415,12,7.847424
9.055296,12,7.882137
7.26148,12,7.923949
8.920583,12,7.958907
8.431259,12,7.991872
7.01792,12,8.041875
7.306433,12,8.072396
9.457987,12,8.101392
7.982964,12,8.13239
8.025784,12,8.16695
8.070509,12,8.19595
7.628578,12,8.225953
8.702218,12,8.254951
8.990967,12,8.290501
8.052085,12,8.320727
8.436279,12,8.351099
7.444472,12,8.382428
7.773433,12,8.414518
7.609503,12,8.461113
8.441007,12,8.527873
8.395121,12,8.562881
8.838388,12,8.604424
8.741172,12,8.633478
8.587095,12,8.665112
8.705505,12,8.694159
8.674693,12,9.013857
8.758711,12,9.043873
8.058409,12,9.077552
7.810704,12,9.111569
8.427045,12,9.141554
7.621336,12,9.172273
7.042231,12,9.200273
7.29273,12,9.228273
9.050546,12,9.256667
6.773185,12,9.285177
6.586553,12,9.321277
9.519573,12,9.349739
7.877128,12,9.389528
7.76393,12,9.417534
8.657718,12,9.445531
6.438883,12,9.482182
10.434546,12,9.511092
8.208964,12,9.54309
7.298301,12,9.570602
8.187052,12,9.605503
7.655423,12,9.633505
7.861057,12,9.664827
7.487354,12,9.69282
9.455636,12,9.722819
8.391524,12,9.751822
7.760745,12,9.780342
7.16628,12,9.815357
9.133125,12,9.848358
9.392583,12,9.87681
6.914242,12,9.90581
8.116435,12,9.93581
8.618788,12,9.964819
8.772065,12,9.993337
9.26102,12,10.026767
8.04925,12,10.057454
7.523936,12,10.087827
7.847211,12,10.128477
9.090014,12,10.15722
8.584337,12,10.186093
8.208025,12,10.215089
8.592573,12,10.244105
7.407239,12,10.272608
8.604387,12,10.615326
7.091808,12,10.652418
7.258687,12,10.682523
8.706707,12,10.712591
7.680099,12,10.743575
8.0623,12,10.777711
7.482095,12,10.810096
7.88809,12,10.841399
7.231357,12,10.872625
9.546202,12,10.903752
7.728014,12,10.934917
7.31159,12,10.971604
7.032464,12,11.002693
9.204675,12,11.034607
9.374593,12,11.067835
7.525323,12,11.109832
8.481351,12,11.165518
7.148641,12,11.230644
7.953384,12,11.305215
6.904544,12,11.361676
6.797873,12,11.402923
6.894471,12,11.438019
7.315327,12,11.478174
7.993745,12,11.507329
7.124913,12,11.54617
8.032261,12,11.582789
6.941926,12,11.615771
7.523044,12,11.650773
7.906246,12,11.678469
8.788122,12,11.707578
8.371767,12,11.735491
9.308732,12,11.763468
8.333581,12,11.798017
7.381057,12,11.825203
7.592787,12,11.855247
7.782485,12,11.882391
8.804035,12,11.910578
8.5768,12,11.948685
8.339484,12,11.992223
7.505531,12,12.041194
7.952935,12,12.100418
9.263169,12,12.148469
8.201134,12,12.19696
10.190207,12,12.623475
7.124046,12,12.651559
7.380872,12,12.685538
7.843115,12,12.713789
8.659188,12,12.748904
8.133898,12,12.780564
7.71873,12,12.810611
8.097588,12,12.837609
8.106852,12,12.865784
8.688218,12,12.901899
9.505913,12,12.929913
7.448366,12,12.963901
8.583319,12,12.991517
7.648345,12,13.019534
8.714674,12,13.046517
8.93348,12,13.076032
8.064163,12,13.103031
7.968746,12,13.137074
