episode,total_timesteps,episode_length,episode_reward,rolling_mean_reward,elapsed_seconds
1,12,12,7.959197,7.959197,2.259805
2,24,12,8.207862,8.083530,2.262483
3,36,12,8.026822,8.064627,2.265179
4,48,12,8.956884,8.287691,2.271111
5,60,12,7.209621,8.072077,2.273867
6,72,12,8.216588,8.096162,2.276505
7,84,12,6.646811,7.889112,2.279143
8,96,12,8.792884,8.002084,2.281827
9,108,12,8.633672,8.072260,2.284494
10,120,12,8.046656,8.069700,2.287143
11,132,12,7.643062,8.030914,2.289852
12,144,12,8.754438,8.091208,2.292515
13,156,12,8.528801,8.124869,2.295195
14,168,12,7.952648,8.112568,2.297925
15,180,12,9.101334,8.178485,2.300570
16,192,12,8.561829,8.202444,2.303241
17,204,12,8.554473,8.223152,2.305877
18,216,12,9.254080,8.280426,2.308517
19,228,12,7.819678,8.256176,2.311149
20,240,12,7.239853,8.205360,2.313772
21,252,12,8.389730,8.214139,2.316398
22,264,12,7.957396,8.202469,2.319057
23,276,12,8.464352,8.213855,2.321711
24,288,12,8.021472,8.205839,2.324358
25,300,12,7.737649,8.187112,2.326990
26,312,12,7.777797,8.179856,2.329637
27,324,12,8.154857,8.177735,2.332273
28,336,12,8.398253,8.192593,2.334903
29,348,12,8.117120,8.159002,2.337549
30,360,12,8.792620,8.222322,2.340172
31,372,12,7.958441,8.211996,2.342791
32,384,12,8.470636,8.284949,2.345415
33,396,12,7.923209,8.250162,2.348027
34,408,12,7.176191,8.191863,2.350652
35,420,12,8.556613,8.212261,2.353254
36,432,12,8.143576,8.232282,2.355876
37,444,12,8.518101,8.222828,2.358502
38,456,12,9.064784,8.244268,2.361117
39,468,12,10.261278,8.336613,2.363773
40,480,12,8.530972,8.313798,2.366394
41,492,12,8.212741,8.299835,2.369030
42,504,12,6.656779,8.223927,2.371670
43,516,12,8.220581,8.182587,2.483982
44,528,12,7.517464,8.170499,2.486765
45,540,12,8.579946,8.224102,2.489478
46,552,12,8.727667,8.237620,2.492087
47,564,12,8.856232,8.273573,2.494746
48,576,12,6.978850,8.214153,2.497345
49,588,12,8.458623,8.231639,2.500000
50,600,12,8.972944,8.281051,2.502682
51,612,12,8.244782,8.299730,2.505477
52,624,12,8.862958,8.328054,2.508214
53,636,12,6.936188,8.269572,2.510947
