#{"t_start": 1775533292.4805, "env_id": "None"}
r,l,t
7.959197,12,2.259805
8.207862,12,2.262483
8.026822,12,2.265179
8.956884,12,2.271111
7.209621,12,2.273867
8.216588,12,2.276505
6.646811,12,2.279143
8.792884,12,2.281827
8.633672,12,2.284494
8.046656,12,2.287143
7.643062,12,2.289852
8.754438,12,2.292515
8.528801,12,2.295195
7.952648,12,2.297925
9.101334,12,2.30057
8.561829,12,2.303241
8.554473,12,2.305877
9.25408,12,2.308517
7.819678,12,2.311149
7.239853,12,2.313772
8.38973,12,2.316398
7.957396,12,2.319057
8.464352,12,2.321711
8.021472,12,2.324358
7.737649,12,2.32699
7.777797,12,2.329637
8.154857,12,2.332273
8.398253,12,2.334903
8.11712,12,2.337549
8.79262,12,2.340172
7.958441,12,2.342791
8.470636,12,2.345415
7.923209,12,2.348027
7.176191,12,2.350652
8.556613,12,2.353254
8.143576,12,2.355876
8.518101,12,2.358502
9.064784,12,2.361117
10.261278,12,2.363773
8.530972,12,2.366394
8.212741,12,2.36903
6.656779,12,2.37167
8.220581,12,2.483982
7.517464,12,2.486765
8.579946,12,2.489478
8.727667,12,2.492087
8.856232,12,2.494746
6.97885,12,2.497345
8.458623,12,2.5
8.972944,12,2.502682
8.244782,12,2.505477
8.862958,12,2.508214
6.936188,12,2.510947
8.679547,12,2.513691
9.209991,12,2.516372
8.502178,12,2.519068
7.70682,12,2.521712
8.28883,12,2.524373
8.124849,12,2.527014
8.74584,12,2.52967
7.340986,12,2.532318
7.345302,12,2.535002
8.799494,12,2.537651
8.122793,12,2.540304
9.766505,12,2.542983
7.880896,12,2.545621
7.168375,12,2.54827
9.280074,12,2.550923
8.220257,12,2.553574
8.204893,12,2.556206
7.775422,12,2.558857
8.280664,12,2.561499
7.723237,12,2.564141
7.505784,12,2.56681
8.206049,12,2.569494
8.340781,12,2.572126
9.27581,12,2.574794
9.025584,12,2.577433
7.029775,12,2.580071
8.429761,12,2.582718
7.998054,12,2.585397
7.5512,12,2.588045
8.31083,12,2.59069
8.664099,12,2.593329
7.896521,12,2.595961
8.446475,12,2.672128
8.78135,12,2.675032
8.810107,12,2.677742
7.841896,12,2.680386
8.470712,12,2.682996
8.010051,12,2.685582
8.838536,12,2.688193
7.689104,12,2.690864
8.527237,12,2.693515
8.707189,12,2.696163
8.847026,12,2.698835
7.257954,12,2.701501
8.716105,12,2.704176
8.149021,12,2.706838
7.938366,12,2.709465
7.878536,12,2.712158
7.131194,12,2.714819
8.658521,12,2.71746
8.196525,12,2.720107
7.389805,12,2.722732
6.825929,12,2.725383
8.766773,12,2.728026
8.999324,12,2.730661
8.329327,12,2.733299
8.289023,12,2.735927
9.075577,12,2.738582
8.018076,12,2.741219
8.888812,12,2.743867
7.939812,12,2.746543
9.190558,12,2.749194
9.197589,12,2.751816
9.096239,12,2.754445
9.349955,12,2.757074
7.894248,12,2.759712
7.208688,12,2.762358
8.490926,12,2.76501
9.198601,12,2.767641
7.661032,12,2.770274
8.106753,12,2.772919
7.950322,12,2.775605
8.685333,12,2.778225
8.723878,12,2.780924
8.18126,12,2.783555
8.841931,12,2.859005
8.71818,12,2.861709
9.007827,12,2.864332
7.817663,12,2.866941
7.41494,12,2.869582
8.524406,12,2.87222
7.621087,12,2.874904
9.537784,12,2.877568
7.653154,12,2.880223
8.811626,12,2.882922
8.160719,12,2.885575
7.561828,12,2.888287
7.627146,12,2.890974
7.823925,12,2.893665
9.068684,12,2.896317
8.794054,12,2.898957
8.894313,12,2.901596
8.353751,12,2.904222
8.476154,12,2.906864
8.06434,12,2.909533
8.142324,12,2.912168
8.718962,12,2.91483
8.615736,12,2.917479
8.31956,12,2.920121
8.581576,12,2.922759
8.807201,12,2.925382
8.352404,12,2.928014
8.550533,12,2.930648
9.128087,12,2.933265
8.04772,12,2.935905
9.097395,12,2.938551
8.315428,12,2.941181
8.632259,12,2.943837
9.225533,12,2.946523
8.142484,12,2.949227
8.359668,12,2.95193
7.967566,12,2.954573
8.19499,12,2.957209
7.316744,12,2.959847
8.839038,12,2.962475
9.40211,12,2.965108
7.538172,12,2.967796
