#{"t_start": 1776233236.5888731, "env_id": "None"}
r,l,t
5.61424,12,10.334621
5.73455,12,10.398729
4.970454,12,10.463539
5.616685,12,10.52858
3.119569,12,10.58709
5.975384,12,10.644013
6.010135,12,10.694265
3.703895,12,10.750118
4.881565,12,10.812726
5.304512,12,10.873944
5.156486,12,10.932992
5.061521,12,10.987132
5.895749,12,11.055695
5.042278,12,11.111048
4.668304,12,11.173106
5.850528,12,11.226009
5.476869,12,11.295027
5.582489,12,11.356297
5.532403,12,11.430959
5.173309,12,11.495976
5.485434,12,11.548344
5.110569,12,11.600116
4.512125,12,11.658366
4.173513,12,11.709033
4.498271,12,11.764544
5.498751,12,11.812835
5.695788,12,11.86054
5.615503,12,11.906636
4.919689,12,11.956521
5.615996,12,12.008029
5.687332,12,12.053766
5.116755,12,12.130324
5.86188,12,12.18716
4.006077,12,12.253663
5.12648,12,12.318996
5.431138,12,12.389707
5.145152,12,12.443588
4.641827,12,12.506119
4.030918,12,12.554099
4.839623,12,12.600569
5.535079,12,12.656685
5.391432,12,12.715685
4.583917,12,13.782188
6.123664,12,13.827978
5.356928,12,13.880406
4.695974,12,13.927729
3.580061,12,13.970407
5.929889,12,14.016512
5.650798,12,14.059614
5.151508,12,14.113168
4.989529,12,14.15662
6.071117,12,14.226092
5.253191,12,14.273488
5.703388,12,14.319486
5.887939,12,14.37556
5.446076,12,14.437687
5.852791,12,14.489091
5.762471,12,14.552028
5.278717,12,14.607995
6.289577,12,14.675333
5.4808,12,14.732193
5.768758,12,14.773395
4.541192,12,14.823649
5.739392,12,14.870412
4.295627,12,14.913707
4.772101,12,14.961699
5.031088,12,15.005089
5.841975,12,15.054179
5.094446,12,15.101998
6.003001,12,15.145918
5.579912,12,15.193791
5.338534,12,15.237327
4.5279,12,15.281069
4.692969,12,15.334117
5.031954,12,15.376287
4.204082,12,15.438989
6.147385,12,15.499056
4.783249,12,15.550872
6.034843,12,15.596023
4.724795,12,15.640443
4.851278,12,15.69002
5.937058,12,15.740326
5.578155,12,15.797894
5.042582,12,15.850035
5.593472,12,15.904278
5.365879,12,16.79571
5.903545,12,16.862772
6.084211,12,16.92378
5.092135,12,17.011535
5.723804,12,17.114403
3.379856,12,17.207856
4.76104,12,17.280065
5.382328,12,17.346747
5.33267,12,17.397595
6.082761,12,17.467864
4.633949,12,17.531119
4.851283,12,17.589497
5.914954,12,17.644133
4.458311,12,17.713882
5.29635,12,17.785885
4.81416,12,17.868619
5.914773,12,17.954663
5.121649,12,18.029291
6.003324,12,18.097195
5.017113,12,18.156375
5.37112,12,18.213471
6.185154,12,18.297242
5.700324,12,18.350742
4.949879,12,18.410832
5.615905,12,18.463982
4.815186,12,18.51398
4.894989,12,18.561034
5.066501,12,18.613116
5.35448,12,18.658194
4.802335,12,18.710678
5.819567,12,18.756507
5.521644,12,18.807439
5.798844,12,18.853864
4.963038,12,18.914614
4.746629,12,18.96912
5.779454,12,19.031313
4.146192,12,19.094809
6.213945,12,19.158029
5.248154,12,19.22
4.540996,12,19.279949
5.091806,12,19.346409
6.244611,12,19.409513
4.777008,12,19.455342
5.223914,12,20.119662
6.735668,12,20.170766
5.992343,12,20.222764
5.983907,12,20.278548
4.34283,12,20.331453
4.025117,12,20.378281
5.782442,12,20.423368
4.315554,12,20.471181
6.190187,12,20.52318
5.862552,12,20.565903
4.85984,12,20.617525
6.086353,12,20.665781
5.455091,12,20.712885
5.257902,12,20.756659
6.717216,12,20.808208
6.012882,12,20.859026
4.410055,12,20.906012
5.160262,12,20.95521
5.349442,12,21.004096
6.514863,12,21.057662
4.803,12,21.108195
5.853659,12,21.170318
4.052345,12,21.226226
5.504934,12,21.281782
5.375156,12,21.338987
6.000396,12,21.394567
4.975827,12,21.447207
5.882634,12,21.507181
5.150724,12,21.567482
5.84382,12,21.632495
4.865853,12,21.693381
5.290953,12,21.747525
5.934101,12,21.810337
6.137167,12,21.873059
4.171105,12,21.924047
5.308268,12,21.979827
6.516666,12,22.028596
4.096277,12,22.077445
4.682168,12,22.124442
5.486731,12,22.179493
5.037583,12,22.232774
4.950809,12,22.28286
6.042864,12,22.956607
5.609921,12,23.004054
3.988252,12,23.052145
5.626405,12,23.098839
4.832172,12,23.15093
5.341385,12,23.212132
4.666488,12,23.268869
5.529453,12,23.322456
4.745079,12,23.373286
5.368328,12,23.443853
6.341282,12,23.491481
6.448878,12,23.537161
3.84377,12,23.587018
5.095132,12,23.639123
4.689719,12,23.715611
4.947136,12,23.772982
5.683466,12,23.82821
6.107149,12,23.893552
5.696063,12,23.953115
6.007944,12,24.010734
4.514874,12,24.064537
4.359212,12,24.117539
5.524303,12,24.172761
4.743509,12,24.219757
4.512698,12,24.270051
5.868455,12,24.328177
5.220424,12,24.378628
5.890734,12,24.426615
5.117769,12,24.491131
5.249201,12,24.545346
4.012789,12,24.595047
6.353352,12,24.649277
5.253852,12,24.702517
6.506835,12,24.750614
5.366845,12,24.801843
5.500199,12,24.858451
6.286163,12,24.90645
5.673198,12,24.955531
5.869258,12,25.008752
5.298304,12,25.067929
5.277531,12,25.123206
