episode,total_timesteps,episode_length,episode_reward,rolling_mean_reward,elapsed_seconds
1,12,12,5.614240,5.614240,5.217459
2,24,12,5.734550,5.674395,5.261960
3,36,12,4.970454,5.439748,5.303948
4,48,12,5.616685,5.483982,5.356343
5,60,12,3.119569,5.011100,5.395071
6,72,12,5.975384,5.171814,5.432969
7,84,12,6.010135,5.291574,5.472850
8,96,12,3.703895,5.093114,5.525823
9,108,12,4.881565,5.069609,5.570686
10,120,12,5.304512,5.093099,5.617678
11,132,12,5.156486,5.098861,5.651374
12,144,12,5.061521,5.095750,5.688989
13,156,12,5.895749,5.157288,5.724486
14,168,12,5.042278,5.149073,5.761386
15,180,12,4.668304,5.117022,5.796687
16,192,12,5.850528,5.162866,5.834248
17,204,12,5.476869,5.181337,5.870747
18,216,12,5.582489,5.203623,5.910339
19,228,12,5.532403,5.220927,5.950055
20,240,12,5.173309,5.218546,5.988636
21,252,12,5.485434,5.231255,6.034778
22,264,12,5.110569,5.225769,6.070847
23,276,12,4.512125,5.194741,6.107526
24,288,12,4.173513,5.152190,6.146006
25,300,12,4.498271,5.126033,6.184953
26,312,12,5.498751,5.121414,6.225830
27,324,12,5.695788,5.119863,6.263208
28,336,12,5.615503,5.145665,6.299577
29,348,12,4.919689,5.117786,6.341878
30,360,12,5.615996,5.217643,6.383178
31,372,12,5.687332,5.206121,6.420195
32,384,12,5.116755,5.170385,6.455721
33,396,12,5.861880,5.256705,6.492249
34,408,12,4.006077,5.221685,6.529458
35,420,12,5.126480,5.214564,6.565257
36,432,12,5.431138,5.225550,6.611556
37,444,12,5.145152,5.228895,6.650281
38,456,12,4.641827,5.178738,6.686723
39,468,12,4.030918,5.138284,6.722105
40,480,12,4.839623,5.145137,6.769455
41,492,12,5.535079,5.132519,6.809250
42,504,12,5.391432,5.129101,6.846927
43,516,12,4.583917,5.089158,7.541708
44,528,12,6.123664,5.112809,7.579982
45,540,12,5.356928,5.120154,7.626465
46,552,12,4.695974,5.088575,7.664942
47,564,12,3.580061,5.027355,7.706218
48,576,12,5.929889,5.084065,7.744202
49,588,12,5.650798,5.143157,7.777244
50,600,12,5.151508,5.169286,7.814227
51,612,12,4.989529,5.148917,7.847268
52,624,12,6.071117,5.163931,7.883332
53,636,12,5.253191,5.149438,7.925241
54,648,12,5.703388,5.180786,7.957532
55,660,12,5.887939,5.191664,8.004009
56,672,12,5.446076,5.182014,8.036869
57,684,12,5.852791,5.211455,8.071503
58,696,12,5.762471,5.207479,8.100631
59,708,12,5.278717,5.258384,8.135891
60,720,12,6.289577,5.304908,8.171958
61,732,12,5.480800,5.306895,8.202121
62,744,12,5.768758,5.331839,8.238677
63,756,12,4.541192,5.327813,8.268995
64,768,12,5.739392,5.396152,8.302227
65,780,12,4.295627,5.374393,8.334754
66,792,12,4.772101,5.343873,8.379654
67,804,12,5.031088,5.329460,8.419326
68,816,12,5.841975,5.379782,8.458461
69,828,12,5.094446,5.338613,8.493261
70,840,12,6.003001,5.364456,8.535490
71,852,12,5.579912,5.399814,8.566636
72,864,12,5.338534,5.470153,8.602156
73,876,12,4.527900,5.414073,8.640549
74,888,12,4.692969,5.375760,8.717261
75,900,12,5.031954,5.370978,8.772446
76,912,12,4.204082,5.339560,8.825452
77,924,12,6.147385,5.342611,8.864967
78,936,12,4.783249,5.323813,8.895972
79,948,12,6.034843,5.337071,8.925975
80,960,12,4.724795,5.290545,8.961487
81,972,12,4.851278,5.266753,8.990482
82,984,12,5.937058,5.270124,9.023486
83,996,12,5.578155,5.262752,9.058649
84,1008,12,5.042582,5.253306,9.092650
85,1020,12,5.593472,5.225462,9.128652
86,1032,12,5.365879,5.220865,9.572809
87,1044,12,5.903545,5.226257,9.609803
88,1056,12,6.084211,5.287977,9.652618
89,1068,12,5.092135,5.262087,9.698116
90,1080,12,5.723804,5.319214,9.742796
91,1092,12,3.379856,5.263524,9.781186
92,1104,12,4.761040,5.252722,9.824191
93,1116,12,5.382328,5.234337,9.864694
94,1128,12,5.332670,5.243865,9.899699
95,1140,12,6.082761,5.247056,9.936052
96,1152,12,4.633949,5.209217,9.972152
97,1164,12,4.851283,5.189727,10.010151
98,1176,12,5.914954,5.245209,10.049008
99,1188,12,4.458311,5.235823,10.083096
100,1200,12,5.296350,5.246399,10.124093
101,1212,12,4.814160,5.270802,10.155614
102,1224,12,5.914773,5.261498,10.188615
103,1236,12,5.121649,5.275034,10.221617
104,1248,12,6.003324,5.273773,10.259329
105,1260,12,5.017113,5.285466,10.303713
106,1272,12,5.371120,5.306259,10.355029
107,1284,12,6.185154,5.316183,10.397028
108,1296,12,5.700324,5.321070,10.431033
109,1308,12,4.949879,5.317362,10.472068
110,1320,12,5.615905,5.318259,10.505067
111,1332,12,4.815186,5.296231,10.537596
112,1344,12,4.894989,5.255889,10.569725
113,1356,12,5.066501,5.215181,10.601724
114,1368,12,5.354480,5.225675,10.642240
115,1380,12,4.802335,5.188816,10.680886
116,1392,12,5.819567,5.286404,10.714885
117,1404,12,5.521644,5.316828,10.759395
118,1416,12,5.798844,5.333489,10.794402
119,1428,12,4.963038,5.318704,10.844465
120,1440,12,4.746629,5.265258,10.878686
121,1452,12,5.779454,5.311079,10.918684
122,1464,12,4.146192,5.282875,10.955927
123,1476,12,6.213945,5.294835,10.991926
124,1488,12,5.248154,5.326428,11.026084
125,1500,12,4.540996,5.296214,11.064104
126,1512,12,5.091806,5.307320,11.096131
127,1524,12,6.244611,5.320514,11.133631
128,1536,12,4.777008,5.306728,11.180626
129,1548,12,5.223914,5.275552,11.700877
130,1560,12,6.735668,5.344294,11.739783
131,1572,12,5.992343,5.369143,11.790718
132,1584,12,5.983907,5.361093,11.831352
133,1596,12,4.342830,5.306793,11.875597
